392,Mary Strong,Letters Of The Scattered Brotherhood
393,Emmet Fox,Around The Year With Emmet Fox
394,Roget,Thesaurus
395,Henry W Fowler,Fowler's Modern English Usage
396,Frank Herbert,Dune
397,Victor Sperandeo,Pacific Cookbook
398,Enid Bagnold,Autobiography
399,"",A Great Tome On The Law
400,Sigrid Undset,Kristin Lauransdatter
401,Anthony Powell,Dance To The Music Of Time
402,Anthony Trollope,Novels
403,"",Astronomy Book
404,Charles Kidd,Debrett's Peerage
405,Albert Camus,Collected Stories
406,Countess Elizabeth Longford,Victoria Ri
407,Charles Dickens,The Pickwick Papers
408,H G Wells,The Outline Of History
409,Charles Schulz,Snoopy Dog
410,Dr Thor Heyerdahl,The Kon-tiki Expedition
411,"",Volume On Animal Communication
412,Charles Dickens,The Collected Works
413,Johann Wolfgang Goethe,Faust
414,Mildred Newman,How To Be Your Own Best Friend
415,Christopher Isherwood,Bhagavad-gita
416,Jean Plaidy,Novels
417,Carl Giles,Book Of Cartoons
418,Michel De Montaigne,The Collected Works
419,"",Volume Of Colour Reproductions Of Paintings
420,Rev Francis Kilvert,"Reverend Francis Kilvert, Diary 1870-1879"
421,"",Cookery Book
422,Julia Trevelyan Oman,Elizabeth R
423,"",Illustrated Herbal
424,Sir Keith Feiling,History Of England
425,James Mitchener,Novels
426,"",Volumes On Astronomy And Astrology
427,Mary Baker Eddy,"Science And Health, With A Key To The Scriptures"
428,"",Cookery Encyclopaedia
429,Mario Puzo,The Godfather
430,Ernest Holmes,The Science Of Mind
431,"",Primary Instruction In All Languages
432,"",Law Study Course
433,Leo Slezak,Works
434,Penelope Mortimer,The Pumpkin Eater
435,"",Illustrated Book On Gardening
436,George Bernard Shaw,The Collected Works
437,"",Encyclopaedia Britannica 1911 Edition
438,Louise Saunders,The Knave Of Hearts
439,Anatole France,Le Crime De Sylvestre Bonnard
440,James Thurber,The Thurber Carnival
441,"",Anthology Of English Verse
442,Cornelia Otis Skinner,Our Hearts Were Young And Gay
443,Pyotr Ilyich Tchaikovsky,The Scores Of The Symphonies
444,"",Family Photograph Album
445,"","Herr, Hier Bin Ich (prayers Of Life)"
446,Beatrix Potter,Works
447,D'arcy Thompson,Growth And Form
448,"",Book On Desert Island Cookery
449,Alice Bailey,White Magic
450,Mary Baker Eddy,"Science And Health, With Key To The Scriptures"
451,Anton Chekhov,Three Sisters
452,"",Volumes Of Her Autobiography
453,Robert Stroud,The Birdman Of Alcatraz
454,"",Enquire Within Upon Everything
455,"",Larousse Gastronomique
456,Lord A P Wavell,Other Men's Flowers
457,"",Anglo-french Dictionary
458,Homer,Bi-lingual Edition
459,"",Blank Pages And Pencils
460,"",Selection Of English Poetry
461,"",Textbook On Anthropology
462,Frances Hodgson Burnett,The Secret Garden
463,Plato,Dialogues
464,Charles Dickens,Bleak House
465,Charles Dickens,Martin Chuzzlewit
466,Stella Gibbons,Cold Comfort Farm
467,Gabriel Chevallier,Clochemerle
468,Peter Ouspensky,Search For The Miraculous
469,Peter Ouspensky,New Model Of The Universe
470,Harold Getty,The Raft Book
471,Sir Winston Churchill,Reminiscences Of Early Life
472,Paul Gallico,The Snow Goose
473,Charles Dickens,Her Favourite Novels
474,T S Eliot,Poetry
475,Marguerite Young,Mrs Mackintosh My Darling
476,William Wordsworth,Complete Works
477,"",Whitaker's Almanack
478,Pope John Xxiii,The Diary Of A Soul
