144,Professor Jocelyn Bell Burnell,http://en.wikipedia.org/wiki/Jocelyn_Bell_Burnell,BBC,female,"Medicine, Science and EngineeringScience"
145,Tina Brown,http://en.wikipedia.org/wiki/Tina_Brown,BBC,female,WritingJournalismEditor
146,J K Rowling,http://en.wikipedia.org/wiki/J._K._Rowling,BBC,female,WritingChildren's Books
147,Dame Norma Major,http://en.wikipedia.org/wiki/Norma_Major,BBC,female,Writing
148,Kathleen Turner,http://en.wikipedia.org/wiki/Kathleen_Turner,BBC,female,"Stage, Screen and RadioActor"
149,Claire Tomalin,http://en.wikipedia.org/wiki/Claire_Tomalin,BBC,female,WritingJournalism
150,Sheila Hancock,http://en.wikipedia.org/wiki/Sheila_Hancock,BBC,female,"Stage, Screen and RadioActor"
151,Dr Jane Goodall,http://en.wikipedia.org/wiki/Jane_Goodall,BBC,female,"Medicine, Science and EngineeringNature and ConservationScienceNaturalist"
152,Clarissa Dickson Wright,http://en.wikipedia.org/wiki/Clarissa_Dickson_Wright,BBC,female,"Food and DrinkStage, Screen and RadioChefBroadcasting"
153,Rita Dove,http://en.wikipedia.org/wiki/Rita_Dove,BBC,female,WritingPoetry
154,Patricia Routledge,http://en.wikipedia.org/wiki/Patricia_Routledge,BBC,female,"Stage, Screen and RadioMusicActor"
155,Rt Hon Ann Widdecombe MP,http://en.wikipedia.org/wiki/Anne_Widdecombe,BBC,female,Politics and Public ServicePolitics
156,Helen Bamber,http://en.wikipedia.org/wiki/Helen_Bamber,BBC,female,"Medicine, Science and EngineeringPolitics and Public ServiceScienceCampaignerMedicine"
157,Luise Rainer,http://en.wikipedia.org/wiki/Luise_Rainer,BBC,female,"Stage, Screen and RadioActor"
158,Rt Hon Mo Mowlam MP,http://en.wikipedia.org/wiki/Mo_Mowlam,BBC,female,Politics and Public ServicePolitics
159,Maria Ewing,http://en.wikipedia.org/wiki/Maria_Ewing,BBC,female,MusicClassical MusicOpera
160,Nina Cassian,http://en.wikipedia.org/wiki/Nina_Cassian,BBC,female,WritingPoetry
161,Ruth Prawer Jhabvala,http://en.wikipedia.org/wiki/Ruth_Prawer_Jhabvala,BBC,female,WritingNovelistPlaywright or Screenwriter
162,Claire Hollingworth,http://en.wikipedia.org/wiki/Clare_Hollingworth,BBC,female,WritingJournalism
163,Eileen Atkins,http://en.wikipedia.org/wiki/Eileen_Atkins,BBC,female,"Stage, Screen and RadioActor"
164,Nicole Kidman,http://en.wikipedia.org/wiki/Nicole_Kidman,BBC,female,"Stage, Screen and RadioActor"
165,Lucy Gannon,http://en.wikipedia.org/wiki/Lucy_Gannon,BBC,female,"Stage, Screen and RadioWritingTheatrePlaywright or Screenwriter"
166,Sybille Bedford,http://en.wikipedia.org/wiki/Sybille_Bedford,BBC,female,WritingJournalismNovelist
167,Susan Blackmore,http://en.wikipedia.org/wiki/Susan_Blackmore,BBC,female,"Academia and EducationMedicine, Science and EngineeringMedicine"
168,Judi Dench,http://en.wikipedia.org/wiki/Judi_Dench,BBC,female,"Stage, Screen and RadioActor"
169,Alice Thomas Ellis,http://en.wikipedia.org/wiki/Alice_Thomas_Ellis,BBC,female,WritingNovelist
170,Helena Kennedy QC,"http://en.wikipedia.org/wiki/Helena_Kennedy,_Baroness_Kennedy_of_The_Shaws",BBC,female,Military and LawLawyer
171,Glenda Jackson MP,http://en.wikipedia.org/wiki/Glenda_Jackson,BBC,female,"Politics and Public ServiceStage, Screen and RadioPoliticsActor"
172,Paula Rego,http://en.wikipedia.org/wiki/Paula_Rego,BBC,female,"Art, Fashion and DesignArt"
