457;"Homer";"Bi-lingual Edition"
458;;"Blank Pages And Pencils"
459;;"Selection Of English Poetry"
460;;"Textbook On Anthropology"
461;"Frances Hodgson Burnett";"The Secret Garden"
462;"Plato";"Dialogues"
463;"Charles Dickens";"Bleak House"
464;"Charles Dickens";"Martin Chuzzlewit"
465;"Stella Gibbons";"Cold Comfort Farm"
466;"Gabriel Chevallier";"Clochemerle"
467;"Peter Ouspensky";"In Search Of The Miraculous"
468;"Peter Ouspensky";"New Model Of The Universe"
469;"Harold Getty";"The Raft Book"
470;"Sir Winston Churchill";"Reminiscences Of Early Life"
471;"Paul Gallico";"The Snow Goose"
472;"Charles Dickens";"Her Favourite Novels"
473;"T S Eliot";"Poetry"
474;"Marguerite Young";"Mrs Mackintosh My Darling"
475;"William Wordsworth";"Complete Works"
476;;"Whitaker's Almanack"
477;"Pope John Xxiii";"The Diary Of A Soul"
478;;"Illustrated Book On Greek Mythology"
479;"Marguerite Steen";"The Sun Is My Undoing"
480;"Jane Austen";"Collected Novels"
481;;"Notebook And Pencil"
482;"Marguerite Yourcenar";"Hadrian's Memoirs"
483;;"Who's Who"
484;;"Anthology Of World Poetry"
485;"Konstantin Paustovsky";"The Telegram"
486;"Konstantin Paustovsky";"A Story Of Life"
487;;"Manual Of Astronomy Plus A Bookmark With A Photograph Of Michelangelo's Pieta"
488;"Macneill Dixon";"The Human Situation"
489;;"Personal Anthology Of Poetry"
490;;"Book With Blank Pages And A Pen"
491;;"Biography Of Bette Davis"
492;"Laozi";"A Way Of Life"
493;"Gerald Durrell";"My Family And Other Animals"
494;"Ian Fleming";"James Bond Novels"
495;"Herbert Tarr";"The Conversion Of Charlie Cohen"
496;;"Atlas"
497;;"Vaughan Haddock's Book Of Modern Verse"
498;"Ralph Waldo Emerson";"Essays"
499;;"English Dictionary"
500;;"Reproductions Of Her Favourite Pictures"
501;"John Galsworthy";"The Forsyte Saga"
502;"Oscar Wilde";"The Happy Prince And Other Tales"
503;;"Compilation Of Works Of Philosophy"
504;;"Book On Mathematics"
505;"Johann Wolfgang Goethe";"Plays"
507;"Ogden Nash";"Poems"
508;"John Osborne";"Collected Plays"
509;"Billy Wright";"Book Of Soccer"
510;"Hendrik Van Loon";"The Story Of Mankind"
511;"H G Wells";"The Science Of Life"
512;"Sheridan";"The Plays"
513;;"Book Of Common Prayer"
514;"J.d. Salinger";"The Catcher In The Rye"
515;"Norman Collins";"London Belongs To Me"
516;"John Milton";"Paradise Lost"
517;"Leo Tolstoy";"What Then Must We Do"
518;"Otto Goldschmidt";"Memoirs Of Jenny Lind"
519;;"The Week-end Book"
